LOWW,large_airport,Vienna International Airport,48.110298,16.5697,EU,AT
LPFR,large_airport,Faro Airport,37.01440048,-7.965909958,EU,PT
LPPD,large_airport,Joao Paulo II Airport,37.74119949,-25.69790077,EU,PT
LPPR,large_airport,Francisco de Sc Carneiro Airport,41.24810028,-8.681389809,EU,PT
LPPT,large_airport,Humberto Delgado Airport (Lisbon Portela Airport),38.7813,-9.13592,EU,PT
LROP,large_airport,Henri Coanda International Airport,44.571111,26.085,EU,RO
LSGG,large_airport,Geneva Cointrin International Airport,46.23809814,6.108950138,EU,CH
LSZH,large_airport,Zurich Airport,47.458056,8.548056,EU,CH
LTAC,large_airport,Esenboc�a International Airport,40.12810135,32.99509811,AS,TR
LTAI,large_airport,Antalya International Airport,36.898701,30.800501,AS,TR
LTBA,large_airport,Instanbul Ataturk Airport,40.971913,28.823714,EU,TR
LTBJ,large_airport,Adnan Menderes International Airport,38.2924,27.157,AS,TR
LTBS,large_airport,Dalaman International Airport,36.71310043,28.79249954,AS,TR
LTFE,large_airport,Milas Bodrum International Airport,37.25059891,27.66430092,AS,TR
LTFJ,large_airport,Istanbul Sabiha Gokcen International Airport,40.898602,29.3092,AS,TR
LTFM,large_airport,Instanbul Airport,41.261297,28.741951,EU,TR
LWSK,large_airport,Skopje International Airport,41.961601,21.621401,EU,MK
LYBE,large_airport,Belgrade Nikola Tesla Airport,44.81840134,20.3090992,EU,RS
LYPG,large_airport,Podgorica Airport / Podgorica Golubovci Airbase,42.359402,19.2519,EU,ME
LZIB,large_airport,M. R. Stefanika Bratislava,48.17020035,17.21269989,EU,SK
MBPV,large_airport,Providenciales International Airport,21.773697,-72.268321,NA,TC
MDPC,large_airport,Punta Cana International Airport,18.56739998,-68.36340332,NA,DO
MDSD,large_airport,Las Americas International Airport,18.42970085,-69.66889954,NA,DO
MGGT,large_airport,La Aurora Airport,14.5833,-90.527496,NA,GT
MKJP,large_airport,Norman Manley International Airport,17.93569946,-76.78749847,NA,JM
MMAA,large_airport,General Juan N Alvarez International Airport,16.757099,-99.753998,NA,MX
MMGL,large_airport,Don Miguel Hidalgo Y Costilla International Airport,20.52179909,-103.310997,NA,MX
MMHO,large_airport,General Ignacio P. Garcia International Airport,29.09589958,-111.0479965,NA,MX
MMMX,large_airport,Licenciado Benito Juarez International Airport,19.4363,-99.072098,NA,MX
MMMZ,large_airport,General Rafael Buelna International Airport,23.1614,-106.265999,NA,MX
MMPR,large_airport,President Gustavo Diaz Ordaz International Airport,20.680099,-105.253998,NA,MX
MMSD,large_airport,Los Cabos International Airport,23.1518,-109.721001,NA,MX
MMSM,large_airport,Santa Lucia Air Force Base / General Felipe Angeles International Airport,19.7458,-99.0145,NA,MX
MMTJ,large_airport,General Abelardo L. Rodri�guez International Airport,32.54109955,-116.9700012,NA,MX
MMUN,large_airport,Cancun International Airport,21.03650093,-86.87709808,NA,MX
MPTO,large_airport,Tocumen International Airport,9.071359634,-79.38349915,NA,PA
MRLB,large_airport,Guanacaste Airport,10.5933,-85.544403,NA,CR
MSLP,large_airport,Monsenor Ascar Arnulfo Romero International Airport,13.4409,-89.055702,NA,SV
MTPP,large_airport,Toussaint Louverture International Airport,18.58,-72.292503,NA,HT
MUHA,large_airport,Jose Marti� International Airport,22.98920059,-82.40910339,NA,CU
MUVR,large_airport,Juan Gualberto Gomez International Airport,23.03440094,-81.43530273,NA,CU
MWCR,large_airport,Owen Roberts International Airport,19.2928009,-81.35769653,NA,KY
MYNN,large_airport,Lynden Pindling International Airport,25.039,-77.466202,NA,BS
MZBZ,large_airport,Philip S. W. Goldson International Airport,17.53910065,-88.30819702,NA,BZ
NCRG,large_airport,Rarotonga International Airport,-21.20269966,-159.8059998,OC,CK
NTAA,large_airport,Faa'a International Airport,-17.553699,-149.606995,OC,PF
NVVV,large_airport,Bauerfield International Airport,-17.699301,168.320007,OC,VU
NWWM,large_airport,Noumea Magenta Airport,-22.258301,166.473007,OC,NC
NZAA,large_airport,Auckland International Airport,-37.01199,174.786331,OC,NZ
NZCH,large_airport,Christchurch International Airport,-43.48939896,172.5319977,OC,NZ
NZWN,large_airport,Wellington International Airport,-41.32720184,174.8049927,OC,NZ
OBBI,large_airport,Bahrain International Airport,26.267295,50.63764,AS,BH
OEDF,large_airport,King Fahd International Airport,26.47120094,49.79790115,AS,SA
OEDR,large_airport,King Abdulaziz Air Base,26.2654,50.152,AS,SA
OEJN,large_airport,King Abdulaziz International Airport,21.6796,39.156502,AS,SA
OEMA,large_airport,Prince Mohammad Bin Abdulaziz Airport,24.5534,39.705101,AS,SA
OERK,large_airport,King Khaled International Airport,24.95759964,46.69879913,AS,SA
OIIE,large_airport,Imam Khomeini International Airport,35.41609955,51.15219879,AS,IR
OIII,large_airport,Mehrabad International Airport,35.68920135,51.31340027,AS,IR
OIMM,large_airport,Mashhad International Airport,36.23519897,59.64099884,AS,IR
OISS,large_airport,Shiraz Shahid Dastghaib International Airport,29.5392,52.589802,AS,IR
OJAI,large_airport,Queen Alia International Airport,31.72260094,35.99319839,AS,JO
OKBK,large_airport,Kuwait International Airport,29.22660065,47.96889877,AS,KW
OLBA,large_airport,Beirut Rafic Hariri International Airport,33.82089996,35.48839951,AS,LB
OM-0003,large_airport,Duqm International Airport,19.501944,57.634167,AS,OM
OMAA,large_airport,Abu Dhabi International Airport,24.443764,54.651718,AS,AE
OMDB,large_airport,Dubai International Airport,25.25279999,55.36439896,AS,AE
OMDW,large_airport,Al Maktoum International Airport,24.896356,55.161389,AS,AE
OMSJ,large_airport,Sharjah International Airport,25.32859993,55.51720047,AS,AE
OOMS,large_airport,Muscat International Airport,23.59329987,58.28440094,AS,OM
OPIS,large_airport,Islamabad International Airport,33.549,72.82566,AS,PK
OPKC,large_airport,Jinnah International Airport,24.9065,67.160797,AS,PK
OPLA,large_airport,Allama Iqbal International Airport,31.521601,74.403603,AS,PK
ORBI,large_airport,Baghdad International Airport / New Al Muthana Air Base,33.262501,44.2346,AS,IQ
OSDI,large_airport,Damascus International Airport,33.41149902,36.5155983,AS,SY
OTHH,large_airport,Hamad International Airport,25.273056,51.608056,AS,QA
PAFA,large_airport,Fairbanks International Airport,64.81510162,-147.8560028,NA,US
PANC,large_airport,Ted Stevens Anchorage International Airport,61.1744,-149.996002,NA,US
PGUM,large_airport,Antonio B. Won Pat International Airport,13.4834,144.796005,OC,GU
PHNL,large_airport,Daniel K Inouye International Airport,21.32062,-157.924228,OC,US
RCKH,large_airport,Kaohsiung International Airport,22.577101,120.349998,AS,TW
RCTP,large_airport,Taiwan Taoyuan International Airport,25.0777,121.233002,AS,TW
RJAA,large_airport,Narita International Airport,35.764702,140.386002,AS,JP
RJBB,large_airport,Kansai International Airport,34.427299,135.244003,AS,JP
RJCC,large_airport,New Chitose Airport,42.7752,141.692001,AS,JP
RJFF,large_airport,Fukuoka Airport,33.58589935,130.451004,AS,JP
RJFK,large_airport,Kagoshima Airport,31.80340004,130.7189941,AS,JP
RJGG,large_airport,Chubu Centrair International Airport,34.85839844,136.8049927,AS,JP
RJOO,large_airport,Osaka International Airport,34.78549957,135.4380035,AS,JP
RJSS,large_airport,Sendai Airport,38.139702,140.917007,AS,JP
RJTT,large_airport,Tokyo Haneda International Airport,35.552299,139.779999,AS,JP
RJTY,large_airport,Yokota Air Base,35.74850082,139.3480072,AS,JP
RKJB,large_airport,Muan International Airport,34.991406,126.382814,AS,KR
RKPC,large_airport,Jeju International Airport,33.51129913,126.4929962,AS,KR
RKPK,large_airport,Gimhae International Airport,35.179501,128.938004,AS,KR
RKSI,large_airport,Incheon International Airport,37.46910095,126.4509964,AS,KR
RKSS,large_airport,Gimpo International Airport,37.5583,126.791,AS,KR
ROAH,large_airport,Naha Airport / JASDF Naha Air Base,26.195801,127.646004,AS,JP
RODN,large_airport,Kadena Air Base,26.351667,127.769444,AS,JP
RPLL,large_airport,Ninoy Aquino International Airport,14.5086,121.019997,AS,PH
RPMD,large_airport,Francisco Bangoy International Airport,7.12552,125.646004,AS,PH
RPVM,large_airport,Mactan Cebu International Airport,10.30749989,123.9789963,AS,PH
SABE,large_airport,Jorge Newbery Airpark,-34.5592,-58.4156,SA,AR
SAEZ,large_airport,Ministro Pistarini International Airport,-34.8222,-58.5358,SA,AR
SBBE,large_airport,Val de Cans/Julio Cezar Ribeiro International Airport,-1.379279,-48.476207,SA,BR
SBBR,large_airport,Presidente Juscelino Kubitschek International Airport,-15.869167,-47.920834,SA,BR
SBCF,large_airport,Tancredo Neves International Airport,-19.63571,-43.966928,SA,BR
SBEG,large_airport,Eduardo Gomes International Airport,-3.03861,-60.049702,SA,BR
SBFL,large_airport,Hercl�lio Luz International Airport,-27.670279,-48.552502,SA,BR
SBGL,large_airport,Rio Galeao - Tom Jobim International Airport,-22.809999,-43.250557,SA,BR
SBGR,large_airport,Guarulhos - Governador Andre Franco Montoro International Airport,-23.431944,-46.467778,SA,BR
SBSV,large_airport,Deputado Luiz Eduardo Magalhaes International Airport,-12.908611,-38.322498,SA,BR
SCEL,large_airport,Comodoro Arturo Merino Benitez International Airport,-33.39300156,-70.78579712,SA,CL
SEGU,large_airport,Jose Joaquin de Olmedo International Airport,-2.15742,-79.883598,SA,EC
SEQM,large_airport,Mariscal Sucre International Airport,-0.129166667,-78.3575,SA,EC
SKBO,large_airport,El Dorado International Airport,4.70159,-74.1469,SA,CO
SLVR,large_airport,Viru Viru International Airport,-17.6448,-63.135399,SA,BO
SMJP,large_airport,Johan Adolf Pengel International Airport,5.45283,-55.187801,SA,SR
SOCA,large_airport,Cayenne-Felix Eboue Airport,4.819964,-52.361326,SA,GF
SPIM,large_airport,Jorge Chcvez International Airport,-12.0219,-77.114305,SA,PE
SPZO,large_airport,Alejandro Velasco Astete International Airport,-13.53569984,-71.938797,SA,PE
SUMU,large_airport,Carrasco International /General C L Berisso Airport,-34.838402,-56.0308,SA,UY
SVBC,large_airport,General Jose Antonio Anzoategui International Airport,10.111111,-64.692222,SA,VE
SVMI,large_airport,Simon Boll�var International Airport,10.601194,-66.991222,SA,VE
TAO,large_airport,Qingdao Jiaodong International Airport,36.361953,120.088171,AS,CN
TFFF,large_airport,Martinique Aime Cesaire International Airport,14.591,-61.003201,NA,MQ
TFFR,large_airport,Pointe-l�-Pitre Le Raizet International  Airport,16.265301,-61.531799,NA,GP
TJSJ,large_airport,Luis Munoz Marin International Airport,18.43939972,-66.00180054,NA,PR
TLPL,large_airport,Hewanorra International Airport,13.7332,-60.952599,NA,LC
TNCA,large_airport,Queen Beatrix International Airport,12.5014,-70.015198,NA,AW
TNCB,large_airport,Flamingo International Airport,12.131,-68.268501,NA,BQ
TNCC,large_airport,Hato International Airport,12.1889,-68.959801,NA,CW
TNCM,large_airport,Princess Juliana International Airport,18.041,-63.108898,NA,SX
UAAA,large_airport,Almaty International Airport,43.3521,77.040497,AS,KZ
UACC,large_airport,Nursultan Nazarbayev International Airport,51.022202,71.466904,AS,KZ
UAFM,large_airport,Manas International Airport,43.06129837,74.4776001,AS,KG
